Actual Prices,Predicted Prices,Residuals (Actual - Predicted)
186.75,188.14942994408366,-1.3994299440836642
1.26,1.1452403918475458,0.11475960815245423
361.83,298.6526816594515,63.17731834054848
8.75,12.889852071631324,-4.139852071631324
210.52,197.04849420634923,13.471505793650778
26.2,36.19889077380952,-9.998890773809517
320.1,296.5730039277469,23.526996072253098
28.13,27.059238853686733,1.0707611463132665
57.0,51.51433295485259,5.485667045147409
272.1,313.02237574675326,-40.92237574675323
0.04,0.05420803516174156,-0.014208035161741558
23.54,27.414467039506807,-3.8744670395068077
2.24,1.8093973558566991,0.43060264414330107
1.51,0.57388397615931,0.93611602384069
20.5,17.355415829798243,3.1445841702017567
7.0,9.402388570333324,-2.402388570333324
10.34,10.874642207792201,-0.5346422077922011
18.15,16.64362947661674,1.5063705233832572
1.4,1.881574681046756,-0.48157468104675605
25.31,25.69706382984839,-0.3870638298483904
298.5,278.7310101571387,19.768989842861288
92.95,92.65122250541118,0.2987774945888191
56.75,67.31282785615528,-10.56282785615528
9.3,8.881538878066381,0.4184611219336194
13.97,15.705011469528092,-1.7350114695280912
26.0,17.713237130647116,8.286762869352884
0.36,0.5381990605486457,-0.17819906054864576
0.02,0.047913984509322834,-0.027913984509322833
38.6,31.49545846861473,7.104541531385273
0.73,1.0013857149885241,-0.27138571498852415
2.24,2.7518954563492066,-0.5118954563492064
17.9,16.302185877860484,1.5978141221395141
70.0,77.843414456932,-7.8434144569319955
17.13,17.48726501984128,-0.35726501984128234
1.26,1.4331806950922694,-0.1731806950922694
15.15,15.454389557338093,-0.3043895573380926
0.31,0.7863754824234064,-0.4763754824234064
0.69,0.6276024290306873,0.06239757096931264
60.75,63.183298377089905,-2.433298377089905
18.28,21.650276475847036,-3.370276475847035
0.03,0.06132814097059237,-0.03132814097059237
62.0,79.55331660580511,-17.553316605805108
0.3,0.3985441114352229,-0.0985441114352229
15.78,14.425176773409019,1.3548232265909803
8.09,8.204479812409815,-0.1144798124098152
43.85,43.69393958980945,0.15606041019054828
0.06,0.19239422395528855,-0.13239422395528855
4.8,6.7078707739419965,-1.9078707739419967
5.37,7.689595767040105,-2.319595767040105
20.8,10.551251258434151,10.24874874156585
1053.95,855.4802823809525,198.46971761904751
280.65,281.97803210497847,-1.3280321049784902
0.01,0.04298758790188951,-0.032987587901889506
0.25,0.9503692277604325,-0.7003692277604325
1.56,1.4977467579627228,0.06225324203727722
0.01,0.13043033340827306,-0.12043033340827307
0.01,0.17230200023904466,-0.16230200023904465
9.68,10.524426567460322,-0.8444265674603226
278.0,277.5302665595679,0.4697334404320941
56.85,49.20100035256411,7.648999647435893
1.6,0.43294674522895277,1.1670532547710473
40.2,28.883930873015906,11.316069126984097
13.08,11.583306029891562,1.4966939701084385
0.35,0.666018434451285,-0.31601843445128497
0.03,0.2958122594452396,-0.26581225944523956
0.57,0.8045656908483148,-0.2345656908483148
1.73,2.2882861500537293,-0.5582861500537293
11.92,22.637430865499788,-10.717430865499788
106.01,100.37902787698407,5.630972123015937
3.6,3.3642311811969727,0.23576881880302736
55.0,57.9992529861111,-2.9992529861111024
16.65,14.516573376787129,2.13342662321287
39.7,37.684270911172135,2.015729088827868
0.88,0.4654764669480375,0.4145235330519625
466.26,453.5617082936507,12.698291706349266
75.8,68.5255859126984,7.274414087301594
225.3,250.8772645586521,-25.577264558652075
1.42,2.3369317344024823,-0.9169317344024823
94.2,104.34444917207801,-10.144449172078012
296.7,247.12559539682533,49.574404603174656
117.79,116.58098582341269,1.209014176587317
0.47,1.2237881724606559,-0.7537881724606559
0.02,0.04360225555561957,-0.02360225555561957
0.08,0.1923175415574376,-0.1123175415574376
77.0,81.57478681076127,-4.5747868107612675
0.05,0.0993605464255301,-0.0493605464255301
27.5,27.731041009685704,-0.23104100968570407
0.01,0.04260508999090179,-0.03260508999090179
1925.26,1700.404650427489,224.85534957251093
11.4,12.82520806179137,-1.4252080617913698
12.73,9.086183329725829,3.6438166702741714
31.07,29.976103145721243,1.093896854278757
169.53,168.63394487734496,0.8960551226550422
18.48,16.835572876935156,1.644427123064844
0.04,0.39482736934024054,-0.35482736934024056
8.7,11.693717316867776,-2.9937173168677766
11.69,13.828555099206351,-2.138555099206352
192.05,187.56584448443223,4.484155515567778
4.92,4.019318373266384,0.9006816267336157
0.07,0.2801645642275627,-0.2101645642275627
2.63,2.249697357690436,0.3803026423095637
36.5,38.00916175394838,-1.5091617539483835
142.4,142.59845858585854,-0.19845858585853193
7.4,8.117747063492066,-0.717747063492066
14.7,15.943647407783388,-1.2436474077833886
18.65,15.739549164526084,2.910450835473915
0.01,0.12629699276789258,-0.11629699276789258
0.05,0.16181990165605048,-0.11181990165605048
53.19,54.297741454226745,-1.1077414542267476
22.45,20.499337452912126,1.9506625470878731
34.68,33.63383778859591,1.0461622114040878
80.73,89.2531881511544,-8.5231881511544
13.6,7.507541823564683,6.092458176435317
60.34,62.54777102333534,-2.20777102333534
201.31,254.23459601190496,-52.92459601190495
85.0,81.35996920213113,3.6400307978688744
1.88,1.2981236108322067,0.5818763891677932
30.82,33.156201403567835,-2.3362014035678342
5.18,8.054859325396826,-2.8748593253968266
2.0,5.0326793746958565,-3.0326793746958565
0.01,0.04219540965676536,-0.03219540965676536
95.74,75.5115020597345,20.2284979402655
2.6,1.889711463128532,0.710288536871468
41.95,55.27606529771817,-13.326065297718166
2.68,3.2048017671433313,-0.5248017671433312
1.58,1.3324053162151486,0.2475946837848515
0.85,0.7793270907791594,0.07067290922084057
2.9,2.7729826583773267,0.1270173416226732
